амням amnyam
кот cat
стол table
карта map
привет hello
мир world
абажур shade
аббат abbot
аббатский abbatial
аббатство abbey
аббревиатура abbreviation
аббревиация abbreviation
абзац paragraph
абиотический abiotic
абонемент subscription
абонент subscriber
абордаж boarding
абордажный boarding
абориген aborigine
аборт abortion
абрикос apricot
абрикосовый apricot
абсолют absolute
абсолютизм absolutism
абсолютист absolutist
абсолютно absolutely
абсолютный absolute
абстрагировать abstract
абстрактно abstractedly
абстрактность abstractness
абстрактный abstract
абстракционизм abstractionism
абстракционист abstractionist
абстракция abstraction
абсурд absurd
абсурдно absurdly
абсурдность absurdity
абсурдный absurd
абсцесс abscess
абсцисса abscissa
ажиотаж agiotage
ажур openwork
азарт excitement
азартно recklessly
азартный venturesome
азбука abc
азбучный alphabetical
азимут azimuth
азот nitrogen
азотирование nitration
азотный nitric
аист stork
академизм academicism
академик academician
академический academic
академия academy
акация acacia
аквакультура aquaculture
акваланг aqualung
аквалангист aqualunger
аквамарин aquamarine
аквамариновый aquamarine
акванавт aquanaut
акваплан aquaplane
акварель watercolor
аквариум aquarium
акведук aqueduct
акклиматизация acclimatization
аккомпанемент accompaniment
аккомпанировать accompany
аккорд chord
аккордеон accordion
аккордеонист accordionist
аккредитование accreditation
аккредитовать accredit
аккумулировать accumulate
аккумулироваться accumulate
аккумулятивный accumulating
аккумулятор accumulator
аккурат exactly
аккуратненький neat
аккуратно carefully
аккуратность accuracy
аккуратный careful
аконит aconite
акр acre
акрил acrylic
акробат acrobat
акробатика acrobatics
акробатический acrobatic
акрополь acropolis
аксессуар accessory
аксиома axiom
аксолотль axolotl
акт act
актер actor
актив assets
активатор activator
активация activation
активизировать activate
активированный activated
активировать activate
активист activist
активно energetically
активность activity
активный active
актуально topically
актуальность topicality
актуальный actual
акула shark
акустик acoustic
акустический acoustic
акушер obstetrician
акцент emphasis
акция action
алгебра algebra
алгебраист algebraist
алгоритм algorithm
алебарда halberd
алименты aliment
алкоголизм alcoholism
алкоголик alcoholic
алкоголь alcohol
алкогольный alcoholic
аллегорический allegorical
аллегория allegory
аллергик allergic
аллергия allergy
аллея alley
аллигатор alligator
аллилуйя hallelujah
алмаз diamond
алмазный diamond
алогичность illogicality
алогичный illogical
алопеция alopecia
алоэ aloe
алтарь altar
алфавит abc
алхимик alchemist
алхимический alchemical
алхимия alchemy
алчно avidly
алчность greed
алчный greedy
алый scarlet
альбатрос albatross
альбедо albedo
альбинос albino
альбом album
альвеола alveolus
альпака alpaca
альпинизм mountaineering
альпинист climber
альт alto
альтернатива alternative
альтернативный alternative
альтруизм altruism
альтруист altruist
алюминиевый aluminum
алюминий aluminum
амбар barn
амбициозность ambition
амбиция ambition
амброзия ambrosia
амеба amoeba
аметист amethyst
аминь Amen
аммиак ammonia
амнезия amnesia
амнистировать amnesty
амнистия amnesty
аморализм amoralism
аморальность amorality
аморальный amoral
аморфный amorphous
ампер ampere
амперметр ammeter
амплитуда amplitude
ампула ampoule
ампутация amputation
ампутированный amputated
ампутировать amputate
амулет amulet
амуниция ammunition
амфетамин amphetamine
амфибия amphibian
ад hell
адажио adagio
адамантин adamantine
адаптация adaptation
адаптер adapter
адаптивный adaptive
адаптировать adapt
адвокат lawyer
адвокатский advocatory
адвокатура advocacy
аддитивность additivity
адекватно adequately
адекватность adequacy
адекватный adequate
аденома adenoma
адепт adherent
административный administrative
администратор administrator
администрация administration
администрирование administration
адмирал admiral
адреналин adrenaline
адрес address
адресант addresser
адресат destination
адресация addressing
адски terribly
адский hellish
адъютант adjutant
агат agate
агглютинация agglutination
агент agent
агентство agency
агитатор agitator
агитационный agitational
агитация agitation
агитировать agitate
агнец lamb
агностик agnostic
агностический agnostic
агония agony
аграрный agrarian
агрегат aggregate
агрегатный aggregate
агрессивность aggressiveness
агрессивный aggressive
агрессия aggression
агрессор aggressor
агробиолог agrobiologist
агробиологический agrobiological
агробиология agrobiology
агрология agrology
агроном agronomist
агрономический agronomic
агрономия agronomy
аэробика aerobics
аэрограф aerograph
аэрография aerography
аэродинамика aerodynamics
аэродинамический aerodynamic
аэродром aerodrome
аэрозоль aerosol
аэрокамера aerocamera
аэролит aerolite
аэронавт aeronaut
аэропорт airport
аэропочта airmail
аэростат balloon
ацетат acetate
ацетил acetyl
ацетон acetone
ациклический acyclic
ах ah
ахать exclaim
ахинея nonsense
афера fraud
аферист gambler
афиша poster
афишировать advertise
афоризм aphorism
ау ay
аудиенция audience
аудиограмма audiogram
аудиограф audiograph
аудиометр audiometer
аудитор auditor
аудитория audience
аукать halloo
аукционист auctioneer
аукционный auction
аул village
аура aura
аут out
аутентичный authentic
аутизм autism
аутистический autistic
атавизм atavism
атака attack
атаковать attack
атеизм atheism
атеист atheist
ателье studio
атлас atlas
атлет athlete
атлетика athletics
атлетический athletic
атмосфера atmosphere
атом atom
атомный atomic
атомщик atomist
атрибут attribute
атрофия atrophy
аттестат certificate
аттестация validation
аттестовать attest
аттракцион attraction
аорта aorta





















